Aishe Code,University Name,State,District,Web Url,University Type,Year Of Establishment,Location,Address
U-0325,"Shivaji University, Kolhapur",Maharashtra,Kolhapur,www.unishivaji.ac.in,State Public University,1962,Urban,"Vidyanagar, University Campus, Kolhapur"
U-0324,"Sant Gadge Baba Amravati University, Amravati",Maharashtra,Amravati,www.sgbau.ac.in,State Public University,1983,Urban,"Mardi Road, Near Tapowan Gate, Amravati"
U-0323,Savitribai Phule Pune University,Maharashtra,Pune,www.unipune.ac.in,State Public University,1949,Urban,"Ganeshkhind,, Pune"
U-0322,"Pravara Institute Of Medical Sciences, Ahmednagar",Maharashtra,Ahmednagar,www.pravara.com,Deemed University-Private,2003,Rural,"A/P : Loni B.K. , Tal : Rahata, Dist : Ahmednagar, Loni B.K."
U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai",Maharashtra,Thane,www.dypatil.edu,Deemed University-Private,2002,Urban,"Sector 7, Nerul, Navi Mumbai 400706, Navi Mumbai"
U-0984,D Y Patil International University,Maharashtra,Pune,dypiu.ac.in,State Private University,2018,Urban,"Sector No. 29, Pradhikaran, Akurdi, Pune, Pune, Pune"
U-0302,"Dr. Panjabrao Deshmukh Krishi Vidyapeeth, Akola",Maharashtra,Akola,www.pdkv.ac.in,State Public University,1969,Urban,"P.O. Krishi Nagar Akola-444104 (MS) India., Akola"
U-0295,Datta Meghe Institute Of Medical Sciences (Deemed To Be University),Maharashtra,Nagpur,www.dmiher.edu.in,Deemed University-Private,1990,Rural,"Sawangi (Meghe), , Wardha"
U-1104,D Y Patil University Pune Ambi,Maharashtra,Pune,https://dypatiluniversitypune.edu.in,State Private University,2019,Rural,"DY PATIL UNIVERSITY PUNE, AMBI, Sr. No. 124 & 126, A/p Ambi MIDC Road, Tal Maval, Talegaon Dabhade, Maharashtra 410506"
U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",Maharashtra,Jalgaon,www.nmu.ac.in,State Public University,1990,Rural,"Post Office Box No. 80,, Umavi Nagar, Jalgaon, Jalgaon"
U-0319,"Shri Vile Parle Kelavani Mandals Narsee Monjee Institute Of Management Studies (Deemed University), Mumbai (Svkms Nmims)",Maharashtra,Mumbai,www.nmims.edu,Deemed University-Private,1981,Urban,"Shri Vile Parle Kelavani Mandal (SVKM), 10th Floor, West Wing, V.L, Vaikunthlal Mehta Rd, Yamuna Nagar, Nehru Nagar, Airport Area, Vile Parle, W, Mumbai, Maharashtra 400056"
U-0318,University Of Mumbai,Maharashtra,Mumbai,www.mu.ac.in,State Public University,1857,Urban,"M.G. Road,, Fort, Mumbai"
U-0317,"Mgm Institute Of Health Sciences, Navi Mumbai",Maharashtra,Raigad,www.mgmuhs.com,Deemed University-Private,1989,Urban,"Sector - 1, Kamothe, Navi Mumbai"
U-0316,"Vasantrao Naik Marathwada Krishi Vidyapeeth, Parbhani",Maharashtra,Parbhani,www.vnmkv.ac.in,State Public University,1972,Urban,"Vasantrao Naik Marathwada Krishi Vidyapeeth, Parbhani, 7Q2W+83F, Basmat Road, Krishinagar, Parbhani, Maharashtra 431402"
U-0315,"Mahatma Phule Krishi Vidyapeeth, Rahuri",Maharashtra,Ahmednagar,www.mpkv.ac.in,State Public University,1968,Rural,"MPKV, RAHURI Pin- 413 722, Tal. Rahuri, Rahuri"
U-0314,"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Maharashtra,Wardha,www.hindivishwa.org,Central University,1997,Rural,"Post- Hindi Vishwavidyalaya, Gandhi Hills, Wardha"
U-0313,"Maharashtra University Of Health Sciences, Nashik",Maharashtra,Nashik,www.muhs.ac.in,State Public University,1998,Urban,"Mhasrul, Dindori Road, Nashik, Nashik- 422 004"
U-0312,"Maharashtra Animal & Fishery Sciences University, Nagpur",Maharashtra,Nagpur,www.mafsu.in,State Public University,2000,Urban,"Futala Lake Road, Nagpur"
